UserName,Comment
sivaroopan,"I have worked with Keashan previously. He delivered an amazing product. Hence, I decided to engage him again. He has great skills and I am happy with the delivery."
beercartel,Good as always
maschine,A++ as always with Keashan. Over delivered before the deadline.
beercartel,Great as always.
swing2,"Excellent, as always."
beercartel,Great as always.
deepika1423,Keashan is amazing! He goes above and beyond to ensure that he delivers a good product.
ashokseshadri,Good Job by Keashan.
bibowoka,Easy communication and good attention to detail.
deepika1423,Keashan has great knowledge in VBA and was able to grasp the requirements rather easily and delivered a great product. I am very impressed with the current work and will definately work with him in the future.
nafeesmalik,"It was great experience to work with Keashan, Good communication."
vishnuvt,Great gig. Delivered 100% as expected and on time.
rpbproduction,"They we fine, did what was asked."
stefanvan1,Delivered faster than communicated!
omgs1wtf,Great work finished in 12 hours.
mgastulo,"Very happy with this gig, especially because I was a little nervous having never used Fiverr before. Thanks for your help."
mwjng2003,The usual high standard of work...... Quick resolution and professional service. Thank You
maizepays,smooth experience with vba code to perform data download from Google Sheets. Fast delivery. Will use again
brianstahlhut,Job well done
mwjng2003,Consistent great work Seller pays attention to every details and caters to most exceptions. Brilliant! Thanks again
mwjng2003,Excellent job Highly recommended
mwjng2003,Another fine piece of work delivered according to specs despite seller being under the weather.... Appreciate the commitment....
lazanti,Great delivery and service!
oranjeboom,Great job and great communication!
nidour,The project was small but the result was GREAT... Thank you...!!!
jonunearthed,"Always a pleasure. I empathise that you are busy these days, testament to the work you are doing. Thanks as always."
budowski,Very fast completion. Will use again. Highly recommend.
mwjng2003,Another great job completed. Thanks.
mwjng2003,"Another well done professional job. Thank you. Will contact you for the next job, always."
mwjng2003,Very quick turnaround. Professional work. Will be engaging him for other gigs. Thanks
mwjng2003,Seller went above and beyond his way to fulfill the requirements and iterations of checking and testing. Highly recommended. Thank you!
beercartel,"Great, as always"
mwjng2003,Great work as always. always dependable and highly professional. This is my third order. Thanks
mwjng2003,Very fast delivery. Seller is able to anticipate other events and deal with them very professionally. thanks
mwjng2003,Excellent quality work. thanks
naturelouk,
fmunoz1978,Amazing! Thank you
bjbeacon,So fast he made my head spin. Accuracy 100%
nsasso,"Super fast delivery, macro does exaclty what I need it to. I would defntley work with Keshan again."
eenappelperdag,Very good job! Thank you!
georgeforsyth,GREAT AS USUAL
dpenny313,Great gig! Got exactly what I needed!
nsasso,Delievered a great product. Was very patient and made sure to resolve 100% of the issues before closing the job.
stefanoborghi19,A really reliable seller. I surely will buy from him again.
johnmcathey,Amazing service. Responded withing 24 hours to any inquires. Was helpful when revisions were needed. Great all around
tom4239,
topaffiliate,After quite a few projects Keashan nails it the first time everytime. My go to guy for all Excel projects.
ainisrad,"Great speed and accuracy, well recommended."
topaffiliate,Awesome and timely as usual!
rainybu,very good!!! thank you for your hard work :)
nsasso,Keashan got my project done quickly and professionally.
rachel1126,"Great seller, thanks for the fast work"
ivumirai,It was amazing and fast delevry! I highly recommend him!!
vanbrunt,"Exactly what I wanted. Really smart guy, excellent skills. In the past, I've sent these same sets of instructions to others and they were so confused they didn't even know how to start. But keashan knew from the first second. I guess that's why he stays so busy. I have a lot of projects coming up and will be back to utilize his expertise again"
vanbrunt,Exactly what I wanted. Great Freelancer
brianstahlhut,well done thanks
userza_123,wow - excellent skills & service! recommended!
karp123,Great job. Really nailed it! Would Recommend!
michaellau853,Very knowledgeable and friendly. Helped to fix our macro quickly. After-sales support is also great. Will definitely do business again.
deep87fdz9,You did exaclly what i need! Thank you!
sabilsalim,Keashan was great to work with. my 2nd gig and he didn't disappoint again!
realrocker_new,excellent work. thanks
flight1988,"Amazing experience! Really great communication, delivered exactly what I asked for, and was super quick. If I could pay double, I would."
entromarketing,Great work by him
jessicabrown412,Also great value for money and happy to make revisions.
yusrazakir95,Very quick and professional. Highly recommend his service and will definitely use again. Thanks again!
snehpetsmot,Needed a custom macro to save a sheet as a CSV from another sheet. Keashan got the macro made almost immediately and it was a pleasure working with them!
gleamtv,Keashan was amazing!! He delivered in an expedited manner which was necessary and appreciated!! Thank you!!
georgeforsyth,
martennwt,"Again Keashan, you delivered a great job and fulfilled all expectations. You are friendly, patiently and always keen to really help the customers till he is satisfied. I will recommend you and come back for the next job"
satori_acme,Great job!
martennwt,"Did a really good job, fast delivery, great work attitude, friendly and such a professional freelancer. Need more people like this."
punkins3,"I did not know that he was going to ask for more money to have the task done, nevertheless the product was exactly what I was looking for and the communitation was effective."
hobbysauger,Needed several revisions and had to do quite some testing until all bugs were fixed. But the final result is very good.
hobbysauger,Needed several revisions and had to do quite some testing until all bugs were fixed. But the final result is very good.
michaelcary76,Very responsive and followed through very well to completion.
martennwt,"Very friendly, professional and helpful."
kennedy247,Awesome work as always
biancatartarone,the seller provide great service
swing2,"As always, did a great job."
maschine,"As always, Faster than expected and above and beyond quality. The best I've ever worked with."
robertonotte,I'm amazed with Keashan work! We tipped double cause we simply couldn't believe he was able to solve such a large problem in a such a short time-frame. We love this seller
peinty,Great job! will try again.
hobbysauger,"Very fast, very good."
mmchs_mike,Thank you!
swing2,Excellent work and easy to review/update with.
vmoroz,Great work and communication. Keashan is able to deliver exactly what I was looking for and make modifications as requested. Will work again!
swing2,"Excellent, very quick and delivered what was needed."
michaelmonpvhk,keashan is way responsive and knows exactly what I am looking for without further clarification. I am glad that he saved me from spending loads of time to deal with the task
dolancs,"Excellent work! met and exceeded my expectations! Thanks so much and, will be back soon."
vus2002,Always delivers as promised. Easy to work with.
supertonesband,Thank you
khadijakubra,Professional as always
khadijakubra,Great work.
hassanrehmani,
bunuub,This guy is just AWESOME. I would recommend him to anyone seeking for Excel works. Very high quality work and way above my expectations.
thebbshorty,Thank you for your help.. great job
swing2,Quick and delivered what I needed.
maschine,Fast Delivery and delivered EXACTLY what I needed.
jonunearthed,"Second time I've worked with Keashan, very much appreciate his work. Will visit again!"
maschine,Amazing work. Understood exactly what I needed and delivered way ahead of schedule. Will absolutely work with him again.
vus2002,Great service! Easy to work with.
khabibullos,He is efficient and does a great job in VBA
grant_ahc,"Very fast response and delivery, did exactly what was asked. Fantastic service!"
sabilsalim,Delivered as ordered on changes required . Quick turnaround. Easy transaction
chuongdo,Good product works
joshsf,please see my other reviews of Keashan. Always super professional and delivers what is asked.
nhiras,Helped create a macro to process Excel data. Good work. Thanks
joshsf,Keashan went above and beyond to deliver against a deadline.
joshsf,Always on time and completely professional. The best!
ccaimm,Great again
ccaimm,Great person and great work
andi_90,"Excellent, as always. I can highly recommend keashan!"
christojuan,This guy will not quit until the solution is right. Great person to work with. Very smart and patient.
mjkim2,It's been pleasure to work with Keashan. Great communication and delivered perfect outcome! I will definitely work with Keashan again. :)
christojuan,"Seriously awesome experience. Great guy, persistently worked to make the solution perfect. Thanks SO much!"
joshsf,I learn something new every time I work with Keashan. He's deeply experienced in VBA and has been able to realize every project I've given him.
andi_90,the task was completed in a timely manner. several revisions were completed without any problems.
joshsf,Always the best.
creativa3d,Outsanding Experience ! Very good job !
joshsf,"excellent, as usual"
joshsf,"Keashan is a rock solid VBA programmer and great mentor/collaborator. My project involves a lot of complexity including API integration, automation, information architecture, and UI and he hasn't missed a beat."
joshsf,"Exactly the help I was looking for. Great English speaker, Plan to work with Keashan many more times in the future."
icwilson33,This guy was great. He sent a cool video explaining how he did the work for future reference.
andi_90,fast delivery. good communication.
bkhansen,Perfect!!!
vus2002,"Great communication, fast and accurate delivery. Excellent seller!"
mcollins354,Keashan was very helpful through this entire process. We ran into some issues and he worked tirelessly to figure it out. He went above and beyond and I greatly appreciate all his help. Thanks and I highly recommend!
malikfaisal930,He is a Pro. Highly recommended if you want to automate your excel or any thing you need related to VBA. Thank you Keashan
frutago,I don't now what to say. I worked for the first time with someone on fiverr and the experience could not have been better. Keashan took so much time and helped me a lot. I would recommend working with him because in my opinion he is the best. He did actually exactly what I was looking for and was very helpful when I had little difficulties.
malikfaisal930,Outstanding Experience!
matrobinson,Cancelled order. Seller failed to deliver on time!
malikfaisal930,Outstanding Experience
aftcomms,"Keashan is a pleasure to work with, will always go back to him. Thank you"
khadijakubra,Excellent work!
khadijakubra,Awesome work as ever. Thanks
lingwilly88,fast delivery
malikfaisal930,Outstanding Experience. Keashan is a VBA guru. if you want to automate your excel. He is your guy.
riaz05,The results were great with speedy service and all the requirements being met. Always great work highly recommended.
riaz05,I had problems with excel macro. He quickly solved my problems. He is really mastering her business. I highly recommend him
khadijakubra,Outstanding experience!
khadijakubra,Outstanding experience!
kennedy247,great work as always
kennedy247,Great work as always
mobilecouponbud,Great Service! Definately will use again.
khadijakubra,excellent and good job done. will hire again.
khadijakubra,Outstanding experience!
mobilecouponbud,Keashan is always great!
nikolasjbaret,great service !
nikolasjbaret,I will only work with keashan. The best out on this site.
beercartel,"Another great project, thanks"
brunoevangelist,The result match the Gig’s description. I plan to buy again!
besteideas,Needed project done in a hurry - starting on Sunday - no problem - all works!
jessicabrown412,Outstanding as always!
jpeaz001,100% Professional.
jpeaz001,
topaffiliate,Outstanding Experience!
brunoevangelist,Very smart to solve problems. The professional presents the solutions with excellent visual (excellent layout). And still make some corrections when needed. Excellent professional!!
jessicabrown412,I've ordered several times from Keashan and he has never let me down. Always exceeds my expectations and provides superior results. He is fantastic at understanding the problem and needs of the client and has helped me immensely!
careerbelay2,Outstanding Experience!
boleslovas,"All my requests were fully fulfilled. I had some final adjustments which were implemented very quickly. Thank you, I can recommend these services to all."
harboulizizo,"Best seller i'm working with hem again and again, The best"
nikolasjbaret,As always my friend. Completed to perfection.
cravenknight,"Buyer understood my requirements remarkably well, especially considering that they needed to read through my poorly documented PHP code to understand the web application I needed transformed into a mobile app. Only minimal changes were needed after delivery. Very impressive work. :)"
jessicabrown412,Brilliant work! Simply the best Excel helper on fiverr!
nikolasjbaret,Keashan is the best hands down. Always on top of your orders and quickly responds. Thank you!
xoxophd,"keashan is awesome, he really helped me out when i had an urgent excel problem. i shared my screen and he walked through identifying the problem and solved in 15m. i am so happy to get past this problem."
chaimb,"Keashan provided a really EXCELLENT and OUTSTANDING level of professionalism and support , and an understanding of the complex issues on hand and a great ability to solve them quickly."
joel3792,"Very good programmer, good communication and very flexible. Will use again in the future."
taipan2,Handled a few change orders quickly and professionally. Still my go to for any macro work.
yusrazakir95,Excellent experience. Really fast and he has perfect command in his work. Highly recommended and will surely use his services again. Thankyou so much !
harboulizizo,"He's a very talented seller, he's very smart and fast surely i'll work with hem again, Thank you"
ahmadalsaeedi,"He is very good sellers, he did for me 2 apps that working on MIT App Inventor 2, they working very good, I recommend to do works with him [ I received the order before the deadline ]"
taipan2,I have tried several different sellers to get this macro built and had many failures. Keashan built it in record time and it is perfect efficient and accurate. I will defiantly be back for all of my macro needs.
stinger303,It's great working with Keashan. Will definitely keep on coming back.
stinger303,He hit it out of the park again. Keashan can absolutely do anything. He is amazing. I will continue to come back
stinger303,He hit it out of the park again. Keashan can absolutely do anything. He is amazing. I will continue to come back
californiafrida,"I always come to Keashan with projects that I have no clue how to handle and he knocks them out of the park in no time. Not only did he create exactly what we needed, he took the time to fine tune any requests I had and every created a guide to help walk me through using this tool. This is our second project together and there will be many more!"
terjehev,"Great communication, finished on time and as wanted. Great job!"
mashroofa,Excellent Developer
juliusroberts,Outstanding Experience!
stinger303,Excellent seller. Very quick with his work. ad my request done in a few hours.
beercartel,Outstanding Experience!
nerudaxxi,Excelent again!! From Chile.. Thank you very much!!
nerudaxxi,Excelent and fast!!
dataseeker,Impressive work! Well done!
alex828,Outstanding Experience!
stevengerner,"Fast service, quick communication, and excellent results! Rates were very affordable and Keashan went above and beyond my expectations and request to ensure the end product was convenient and easy to use for the end user!"
chaimb,"Keashan tackled the task with professionalism, devotion and great concern that all should work well. He made revisions as requested and the end product was something that worked properly and accurately! He well deserved the Bonus that I gave him! I would warmly recommend him to any prospective client!"
shohami,"Thanks a lot for another perfect delivery, job done as required and extremely fast, great macro! Thank you!"
adnanak,great work! thx
bwhitley24,I needed a Excel Mortgage Tool and Gig did a great job. Thanks
dwestfa,I presented what I thought would be a complicated project which Keashan handled with ease. His work was quick and I'm very pleased with the results. Thanks!
stumash,Outstanding Experience!
stumash,"a few small mistakes but corrected right away, Very responsive"
tarutaru,"Absolutely brilliant, the seller went above and beyond to help me with my complicated macro. I wouldn't choose anyone else to make Excel Macros except Keashan both in terms of skills and attitude. My best experience on Fiverr up to now!"
datingunlimited,"Great seller, thank you!"
devonshigaki,Always great
dohcjr,Outstanding Experience!
subnet_zero,Perfect transaction. Delivered quickly and macro works flawlessly. Thank you Keashan
gdejong,Keashan did a fantastic job and was very responsive to fixing glitches until the macro was working. I highly recommend Keashan!
dohcjr,Very Good Seller!
marcoluis,The reseller immediately understood my needs at delivered super fast!
dimitrie73,Outstanding Experience!
ltkh91,Poor Experience
natettey,"After 2 sellers turned down the job due to its complex nature, I had to look for a REAL expert. I only had to give a few instructions and the job got done. I was blown away because Keashan got this done in less than 2 hours. Whaaat! I highly recommend Keashan for any of your complex Excel tasks. I will surely be back."
koalajoey1,Outstanding Experience!
stefanvan1,Greats service and experience. Solution-oriented guy with great skills. I highly recommend his services.
careerbelay2,Quality Service. Repeat Order :)
kenshozen,Outstanding Experience!
njagan24,Highly recommended seller.
bestidear4me,"I had a custom App made automating job orders as they became due, also creating records and notes as needed - having this info with me on my phone is very useful. Creating the App was fast but identifying any bugs and creating it to be user friendly did take some time. Keashan was great he saw the project to the end. Thanks Again."
careerbelay2,Repeat order from Keashan. He rocks it and really good after-sales service.
topaffiliate,Excellent work!
adrianw71,Outstanding Experience!
paulwpoteete,Fantastic service.
aceofspade0,"Easy communication, most importantly understood my requirements and very professional work. Shortcut macros recreated, quick turn around and almost minimal revision required."
atochabatteaux,
xoxophd,Outstanding Experience!
shohami,"Amazing work, quick and very high quality! Thanks a lot!"
ms5150,"Excellent work, very fast turn around and responsive. Will definitely recommend and hire again in the future for more projects."
californiafrida,"I came to the table with what I thought was a pretty complex project. I needed a sheet that would take my specified information, enter it into a form, hit submit, pull all of the information off of the first page, select the next page and pull all of that information and put it into a worksheet - ALL WITHOUT ERROR. Keashan knocked it out the park."
alezzi,
skars100,Awesome fiverr. He is the macro king.
californiafrida,Outstanding Experience!
paulwpoteete,Outstanding Experience!
emezed,A very efficient and helpful VBA programmer. I recommend to everyone who need some custom Excel Macro.
stumash,Outstanding Experience!
storminorman77,"Great service, very fast and work done to specifications."
jagsweb67,Keashan immediately started this out exceeding expectations by delivering in less than 24 hrs on a 3 day delivery order. He listened to my ideas and found a solution that works perfectly. Had to revise a few bugs which he did promptly. Ive had lots of problems getting good vba fast on fiverr and know now who I will be coming back to. thanks!
questresults,
vmoroz,Very good first experience. Looking forward to continuing to work together.
careerbelay2,One of the best macro developer on fiverr. He gave me the best price and moreover the support is really good. Just go for him with your eyes closed :). Thanks Keashan.
brissono,Outstanding Experience!
stinger303,Great working with you
anthondo,Outstanding Experience!
kurtoborne,Outstanding Experience!
fripau,"I wanted to get a macro going in the quickest time, while I could go on with other priorities. I decided to outsource the task. A better man than myself solved the problem in very good time."
yuvalr,I was struggling VB with very little success. I was short in time to deliver something to my customers. I opened a request and keashan replied quickly. After 2 days (during my weekend) he sent exactly what I needed. Another request that I had was responded very quickly. So I managed to deliver on time and will save a lot of time in the future!
adilendez,Outstanding Experience!
georgeforsyth,excellent service super fast saved me so much time and effort
jazz040,"This guy is amazing, completed task well within timelines and did such a great job. HIGHLY RECOMMEND!!!!"
babelbark,Outstanding Experience!
jessicabrown412,Outstanding Experience!
babelbark,Outstanding Experience!
ambicaitech,"Great work !! I was so much satisfied with this service, he is so cool person. Delivered before time, revised until my satisfaction Delivered much and worked better than expected, I offered him some more $ for his work and effort. He deserves more than what he charges.... Highly Recommended !!! Thank you so much again"
tachoa26,
wheat7,Went the extra mile
alfasur,Fantastic as always
alfasur,"Outstanding Keashan, fantastic job as always!"
xoxophd,another great job
nguyenv10,Excellent work every time! On time and fast service!
nguyenv10,Outstanding Experience!
oguzgogus,great as expected
nguyenv10,Outstanding Experience!
simonhelite,Outstanding Experience!
nandina,Exactly what I ordered - thank you very much - Bob Kay
alejandroag,This was my first gig and it was very well done. There were some communication problems of my part in relation to what I really wanted in MACROS but Keashan knew how to arrange it immediately. I noted that he knows perfectly using macros and I wont hesitate to ask for the next gig to program in visual basic. Thanks Keashan.
nikolasjbaret,You're the best. Thank you.
nguyenv10,Outstanding Experience!
nguyenv10,Awesome!
ltsun2001,Keashan did an excellent job for me as always. Great work!
beercartel,"Excellent, thank you"
frendyte3,One of the best sellers I've dealt with. Thanks so much for the great macro work!
brissono,Outstanding Experience!
nguyenv10,Good Experience!
nguyenv10,Perfect! Thank you so much!
vrdrive,"great service as always. if you any excel or vba request, look for this seller."
ab68858807,This seller is expert in VBA & Excel. I will use again.
mario_caldera,"This is the second time I order this guy and Im just so happy with the work. He is polity, worker and reasonable."
bizmannager,Good Job Thanks for helping
ddesai,Outstanding Experience!
nikolasjbaret,Awesome service and excellent pricing. Thank you very much K!
aaronh621,awesome...!
amcfutures2,"Excellent job fulfilled all the requirements specifications. Recommended, would use again."
mattdambra,Keashan is great. I am very happy with the support and dedication to making sure everything worked smoothly.
simonhelite,This guys is incredible.
accountantteam,Thanks
rueckware,Good Experience!
lukedalach,"Great job, fast turn around!"
bizmannager,Keashan done the job and He is really Expert in VBA coding. Thanks keashan for helping me
simonhelite,This guy is amazing. I will definitely be using him again.
creating2014,"Perfect as always ! Again, fast, great job, professional work, and super friendly ! Highly Recommended ! whatever you need related to excel, he is your guy !"
salesforceadmin,Competent
vrdrive,Excellent and experience seller. Definiately will use again when solve anything on excel.
niallhickey,Excellent communication and order was delivered ahead of schedule. Highly recommended.
nikolasjbaret,Awesome delivery time and attention to detail. Went above and beyond for me. Can't thank you enough for all your work. A great fiver experience.
robertonotte,Above expectations! Excellent service!
byrocity,Perfect!
graisins,Exactly as requested! Thanks!
mario_caldera,
franksinatra,Excellent Work! Thanks!
buylowcost,
ninjabit,Awesome! Keashan is quick and very skilled! He communicated well through out my order and completed everything I asked for. I am certainly going to request him in the future for assistance if I need it. You are a life saver Keashan! I recommend him to anyone.
dmor71,"Excellent work once again. You are my ""go-to"" and thank you. This guy is super fast and easy to work with. He will work your order until it's perfect for you."
byrocity,Thanks again great work as always.
byrocity,Excellent. Great work!!!!
zlofton,Outstanding Experience!
legacymg,"Seller did not comprehend what I was trying to accomplish, after repeated attempts to explain, seller became frustrated and advised I was adding to original project when I was only trying to clarify original goal of excel spreadsheet. Ok for small, simple excel work."
dohcjr,Took his time to resolve my issues. Also helped me improve the coding number of time. Very polite and very responsible.
correctdev,Outstanding Experience!
correctdev,Awesome service! Thanks
davidoncfund,Outstanding Experience!
agulewinteredo,Awesome gig. Did a perfect job. Fast and great quality. Highly recommend it
jdirkin,Great job Keashan! Really impressed with your technical skills and the ability to help me with a really complex project! Strongly recommend!
mlred822,Thanks for the great work!
lukebyronbay,Perfect!
oam242,Excellent work and quick return time!
palastiaz,Beautifully done and spot on with what i requested!
turtlecooze,Keashan is very talented with virtual basic and excel macros and takes the time to explain the problem.
xoxophd,"2nd great project with Keashan. again, great results. we are starting a 3rd project next week."
malavpatel7,
lukebyronbay,perfect
ltsun2001,keashan was great. He responded to our requirements very quickly and got it right away. He was also very responsive with fixes to the utilities he built for us. Highly recommended.
kikixi,GREAT! Very helpful and will continue working until it works as you want it :)
xoxophd,keashan was awesome. he went above and beyond for me. i kept adding additional features and requests. some were simple and some were involve. never did keashan ask for more money. he knew i would take care of him with a tip. this guy does not complain and try to milk you for more money.
chriscade,Fast and accurate :)
jaygee284,"Really came through with project, even towards the end when I didn't know that the actual issues were on my system, he was patient with me and still very helpful. Good experience and will def use him for future projects"
superbart,"Keashan is the most reliable VBA developer in the world and would never let you down. Thank you, thank you and thank you Keashan. Next project in the pipeline, I'll get in touch in a few days. Thanks :)"
shelfmediagroup,Outstanding Experience!
agconsultcoach,"I am very pleased with the quality excel grid Keashan created. Great work, fast service --extremely accurate!"
amanmehmi,Great Work
charliewalker18,Very good seller. Easy to communicate and helpful.
tyson_clarke,"Excellent work, as always. Thanks a lot Keashan!"
colindubel,Outstanding Experience!
falsaawi,great job
bronko01,Outstanding Experience!
epocetnik,Did everything I requested on time. Great experience!
diramme,Outstanding Experience!
andrewwagnitz,Outstanding Experience!
colindubel,Outstanding Experience!
creating2014,"perfect job ! totally recommended, quick, super skilled; understands what you want or asks untill it's all clear and then delivers before the deadline! Outstanding experience !"
chad3823,Thanks again! You are the best!
chad3823,VERY FAST AND PROFESSIONAL SERVICE!
nike452,Great job as always . Help us /w exactly with what we wanted . Satisfied customer!
joaocarlosnog92,
huda36,Thank you Keashan! Great job!
gergelyszabolcs,Outstanding Experience!
k1234566,"this guy he have to change his name from Keashan to Doctor Excel ,,, he is so so so perfect , outstanding , loved him so much . Keashan thank you so much !!"
joaocarlosnog92,Perfect communication and problem solving! Will contact again if needed
fredfiver,Very good seller. Definitely a recommendation for other buyers.
alanconroy,very quick and delivered exactly what I was looking for
martinziegert,Always a pleasure to work with you!!!
cwclancy1,"Keashan was super responsive. Even though it was the weekend and early morning for Keashan, I had constant communication and action. He delivered what I wanted plus more, nothing was a problem. Great job and I will certainly use him again."
gergelyszabolcs,Outstanding Experience!
estebanfunk,"Outstanding service, great communication, very fast. I will definitely be using Keashan again in the future."
shelfmediagroup,Outstanding Experience!
devonshigaki,seriously a genius!!!
devonshigaki,
yoannd971,Very good service . Keashan is a really professional in his work..
stumash,"Excellent work, will use in future, job was done exactly to spec requested"
shelfmediagroup,Outstanding Experience!
alamotitle,Excellent job!!! Thank you so much! LOVE IT!
matchedbetter,Great gig!
jbefficiency,By far the best experience I've ever had on Fiverr. I am so impressed with Keashan. He made me a superb macro that will save me hours upon hours. Definitely recommend! What a pleasure to work with. Thank you so much Keashan!
ahmed792,Thanks for the work and the understand of the assignment
gergelyszabolcs,Excellent work! Thank you! :)
wishtec,"I have tried several excel Gig in the past but ,Keashan has always delivered as promised. If you are looking for help with your Excel Macros look no further. This is the best Excel Macro GIG on Fiverr."
guysales1,Outstanding Experience!
eddyst,AMAZING!!! Delivered work within 15 minutes!!!
rogersavage,Keashan did an excellent job! It was ready well before he promised and works very well. I would definitely recommend him for any of your Excel macro needs. I will definitely be using Keashan again.
eddyst,"Keashan was just great! Delivered complex job within a day, a job others couldn't do. A gem of a find. Highly recommend."
tayloramarotico,Great work and very knowledgeable!!! Created by macro and it works great!
dimitmant,Outstanding Experience!
tyson_clarke,Awesome!
kevbud,"Keashan is amazing! Fast, accurate, great communications. A+++++++++++++++"
rkobeyer,"I had a urgent and very complicated excel vba request. I paid two 'top rated sellers' and Keashan. I got 3 different solutions from each seller, they all work, but Keashan did the best job by far. I would not be surprised if he becomes the highest rated seller for Excel. Amazing work!"
agulewinteredo,Excellent seller. Works fast and with very good quality. Clearly understands the requirements and is very responsive. I highly recommend him for any complex Excel work
swing2,Outstanding Experience!
tkaddatz,Outstanding Experience!
kevbud,Wow! Super fast and great Service! A+++
oguzgogus,he is a very good person and he does the job just perfect.
bkhansen,;-)
huda36,Keashan is the best!
huda36,Keashan always does a great job. Forget everyone else on Fiverr. Use him for all your VBA/Macro needs.
mlrt1970,Outstanding Experience!
swing2,"Very quick, received what I asked for. Will use again for Excel VBA help."
anita_l,Outstanding Experience!
lauint,Outstanding Experience!
huda36,Excellent job Keashan!
shant1975,
martinziegert,keashan is a very skilled and very reliable developer. He never will let you down and works as long as you get what you paid for. He is a highly recommendable Excel developer with great skills.
racheltanlinked,"Keashan is really patient, has excellent communication and met all expectations. Will definitely be using him for future jobs."
mlrt1970,"Great job, thanks!!"
tyson_clarke,
agulewinteredo,Great seller. Fixed all the issues right away and worked really fast with great quality. Highly recommend it
harrygoldberg,delivered on time and exceeded expectations.
huda36,Keashan is the best and is very talented! He did an awesome job automating my spreadsheets and adding the functionality that I needed.
borisgefter,Unacceptable Experience
